val_td_live,level,area,label
15394,2,212.7781204,66596
257,5,30.39239976,9452
11444,4,70.50030413,47215
3764,4,143.849256,32579
109643,1.5,108.240961,173764
12520,5,290.8818629,86362
1407,2,155.348569,21736
1303,5,386.3506321,23432
4406,3,39.18524468,20411
1406,5,106.4794276,16753
373,5,134.9074795,19765
6692,3,144.5223335,48887
47471,2,112.2447998,102259
2584,4,78.01117549,11754
3033,3,105.6239822,17818
4296,2,173.4015109,26706
18837,3,85.49307675,74766
1585,4,63.78683853,7381
6255,4,172.5521676,46270
1399,3,25.65971261,10808
35733,5,3.885974823,61826
407,4,516.9281088,1743
8687,4,115.1943202,44843
812,4,235.4200379,10115
8245,5,0.986570443,24191
1902,5,21.29151413,10565
34,5,31.94113811,124
3398,4,41.69472603,19508
4417,3,35.65521012,28993
142779,3,140.761479,116189
981,1.5,156.1454862,11580
28374,3,24.83456727,66285
28094,4,8.275337975,55331
4869,1.5,131.1624152,38386
938,5,171.6299757,12049
2946,3,336.5044498,25126
798,5,68.8893739,11654
6060,4,25.2679612,25078
1475,5,164.5310095,19064
769,5,150.9875012,7690
7738,5,45.11836813,32710
4655,1.5,53.21287251,23776
15141,4,1.340592383,37188
59877,2,30.81731174,31328
1860,5,410.8232343,15611
4338,5,180.2599007,27484
12226,2,93.23979136,49240
87,3,854.3456941,8779
431,4,108.4195084,6152
9575,5,90.77265417,46230
796,5,113.9564996,9425
2432,3,244.8163666,14835
13177,5,2.260539537,35389
4288,4,6.717169595,18033
970,4,97.77361554,9009
6483,4,61.54519265,35331
8476,4,268.5533879,41916
2915,4,111.13352,14945
4207,4,227.675392,26827
6597,4,1895.861649,23116
12,3,0.210003741,167
10962,2,55.99403691,55158
7217,3,130.1357405,28245
1940,3,35.86032131,12480
4809,3,44.72244826,21224
887,5,28.42498535,10483
370,4,43.14553256,5774
26439,4,24.16884732,62152
9784,4,92.40112658,57516
2872,4,89.96413783,6047
5331,1,0.305157869,3397
5482,4,68.38727255,25825
3507,5,94.84866799,21995
196,5,1100.241662,2267
30349,3,38.73096625,64345
2044,4,137.2474429,18619
7287,4,30.62864117,33715
6250,2,17.25047588,15918
12383,2,15.94889072,30685
8721,5,284.5604523,50409
3462,4,88.74752099,22194
672,4,99.86214289,5817
26611,5,80.13154844,35142
1051,4,340.1732018,7860
4051,3,82.92649322,31509
41500,1.5,1.834765103,73290
4036,5,92.17332401,43427
1,5,0.275029905,13
19503,2,143.0922949,32642
17880,5,44.60992734,75931
621,5,42.2879398,2924
4494,4,45.02050723,26718
5492,4,111.1998741,31637
7477,3,69.45862945,45087
4453,3,499.6427774,41301
15177,3,71.52727703,48085
23451,1.5,83.89750601,38579
3487,4,52.68664975,20630
54453,1,76.26827785,78072
961,2,173.9958242,1638
1719,5,91.07884498,2056
53643,2,85.44022441,39581
1923,5,254.8334915,27504
22093,2,121.2129433,44060
227,5,233.7452467,21
7517,1.5,138.8294485,15711
4751,4,636.5049246,30744
52,5,30.32391491,3578
106,5,89.55889602,4122
2007,3,138.8008783,15020
66,5,2494.123093,5743
23578,5,3.543292741,41923
7638,5,117.5870816,51456
6011,4,70.36329663,37802
